sku,upc,product_name,brand,category,subcategory,colour,size,unit_price_cad,cost_cad,currency,taxable,status,supplier_id,created_at,updated_at
SKU-00012,6281000000012,Yoga Mat - Forest Green,Common Goods,Fitness,Yoga,Forest Green,ONE SIZE,94.74,51.16,CAD,true,active,SUP-012,2025-07-18T14:00:00.000Z,2026-07-31T14:00:00.000Z
SKU-00013,6281000000013,Mechanical Keyboard - Sand,Northstar,Electronics,Mechanical,Sand,ONE SIZE,101.99,55.07,CAD,true,active,SUP-001,2025-07-19T14:00:00.000Z,2026-07-30T14:00:00.000Z
SKU-00014,6281000000014,Storage Basket - Red,Field & Form,Home,Storage,Red,ONE SIZE,109.24,58.99,CAD,true,active,SUP-002,2025-07-20T14:00:00.000Z,2026-07-29T14:00:00.000Z
SKU-00015,6281000000015,Picnic Blanket - Slate,Arcwell,Outdoors,Picnic,Slate,ONE SIZE,116.49,62.9,CAD,true,active,SUP-003,2025-07-21T14:00:00.000Z,2026-07-28T14:00:00.000Z
SKU-00016,6281000000016,Classic Hoodie - Natural,Juniper,Apparel,Classic,Natural,XL,123.74,66.82,CAD,true,active,SUP-004,2025-07-22T14:00:00.000Z,2026-07-27T14:00:00.000Z
SKU-00017,6281000000017,Glass Carafe - Black,Kite Supply,Kitchen,,Black,ONE SIZE,130.99,70.73,CAD,true,active,SUP-005,2025-07-23T14:00:00.000Z,2026-07-26T14:00:00.000Z
SKU-00018,6281000000018,Foam Roller - White,Common Goods,Fitness,Foam,White,ONE SIZE,14.99,8.09,CAD,true,active,SUP-006,2025-07-24T14:00:00.000Z,2026-07-25T14:00:00.000Z
SKU-00019,,Portable Charger - Navy,Northstar,Electronics,Portable,Navy,ONE SIZE,22.24,12.01,CAD,true,active,SUP-007,2025-07-25T14:00:00.000Z,2026-07-24T14:00:00.000Z
SKU-00020,6281000000020,Cotton Towel Set - Forest Green,Field & Form,Home,Cotton,Forest Green,ONE SIZE,29.49,15.92,CAD,true,active,SUP-008,2025-07-26T14:00:00.000Z,2026-07-23T14:00:00.000Z
SKU-00021,6281000000021,Trail Bottle - Sand,Arcwell,Outdoors,Trail,Sand,ONE SIZE,36.74,19.84,CAD,true,active,SUP-009,2025-07-27T14:00:00.000Z,2026-07-22T14:00:00.000Z
SKU-00022,6281000000022,Merino Tee - Red,Juniper,Apparel,Merino,Red,S,43.99,23.75,CAD,true,active,SUP-010,2025-07-28T14:00:00.000Z,2026-07-21T14:00:00.000Z
SKU-00023,6281000000023,Bamboo Board - Slate,Kite Supply,Kitchen,Bamboo,,ONE SIZE,51.24,27.67,CAD,true,active,SUP-011,2025-07-29T14:00:00.000Z,2026-07-20T14:00:00.000Z
SKU-00024,6281000000024,Training Gloves - Natural,Common Goods,Fitness,Training,Natural,ONE SIZE,58.49,31.58,CAD,true,active,SUP-012,2025-07-30T14:00:00.000Z,2026-07-19T14:00:00.000Z
SKU-00025,6281000000025,Smart Bulb - Black,Northstar,Electronics,Smart,Black,ONE SIZE,65.74,35.5,CAD,true,active,SUP-001,2025-07-31T14:00:00.000Z,2026-07-18T14:00:00.000Z
SKU-00026,6281000000026,Linen Throw - White,Field & Form,Home,Linen,White,ONE SIZE,72.99,39.41,CAD,true,active,SUP-002,2025-08-01T14:00:00.000Z,2026-07-17T14:00:00.000Z
SKU-00027,6281000000027,Camping Lantern - Navy,Arcwell,Outdoors,Camping,Navy,ONE SIZE,80.24,43.33,CAD,true,active,SUP-003,2025-08-02T14:00:00.000Z,2026-07-16T14:00:00.000Z
SKU-00028,6281000000028,Canvas Cap - Forest Green,Juniper,Apparel,Canvas,Forest Green,S,87.49,47.24,CAD,true,active,SUP-004,2025-08-03T14:00:00.000Z,2026-07-15T14:00:00.000Z
SKU-00029,6281000000029,Coffee Grinder - Sand,Kite Supply,Kitchen,Coffee,Sand,ONE SIZE,94.74,51.16,CAD,Y,active,SUP-005,2025-08-04T14:00:00.000Z,2026-07-14T14:00:00.000Z
SKU-00030,6281000000030,Jump Rope - Red,Common Goods,Fitness,Jump,Red,ONE SIZE,101.99,55.07,CAD,true,active,SUP-006,2025-08-05T14:00:00.000Z,2026-07-13T14:00:00.000Z
SKU-00031,6281000000031,Wireless Earbuds - Slate,Northstar,Electronics,Wireless,Slate,ONE SIZE,109.24,58.99,CAD,true,discontinued,SUP-007,2025-08-06T14:00:00.000Z,2026-07-12T14:00:00.000Z
SKU-00032,6281000000032,Ceramic Planter - Natural,Field & Form,Home,Ceramic,Natural,ONE SIZE,116.49,62.9,CAD,true,active,SUP-008,2025-08-07T14:00:00.000Z,2026-07-11T14:00:00.000Z
SKU-00033,6281000000033,Dry Bag - Black,Arcwell,Outdoors,Dry,Black,ONE SIZE,123.74,66.82,CAD,true,active,SUP-009,2025-08-08T14:00:00.000Z,2026-07-10T14:00:00.000Z
SKU-00034,6281000000034,Everyday Socks - White,Juniper,Apparel,,White,S,130.99,70.73,CAD,true,active,SUP-010,2025-08-09T14:00:00.000Z,2026-07-09T14:00:00.000Z
SKU-00035,6281000000035,Mixing Bowl Set - Navy,Kite Supply,Kitchen,Mixing,Navy,ONE SIZE,14.99,8.09,CAD,true,active,SUP-011,2025-08-10T14:00:00.000Z,2026-07-08T14:00:00.000Z
SKU-00036,6281000000036,Resistance Bands - Forest Green,Common Goods,Fitness,Resistance,Forest Green,ONE SIZE,22.24,12.01,CAD,true,active,SUP-012,2025-08-11T14:00:00.000Z,2026-07-07T14:00:00.000Z
SKU-00037,6281000000037,USB-C Hub - Sand,Northstar,Electronics,USB-C,Sand,ONE SIZE,29.49,15.92,CAD,true,active,SUP-001,2025-08-12T14:00:00.000Z,2026-07-06T14:00:00.000Z
SKU-00038,,LED Desk Lamp - Red,Field & Form,Home,LED,Red,ONE SIZE,36.74,19.84,CAD,true,active,SUP-002,2025-08-13T14:00:00.000Z,2026-07-05T14:00:00.000Z
SKU-00039,6281000000039,Hiking Poles - Slate,Arcwell,Outdoors,Hiking,Slate,ONE SIZE,43.99,23.75,CAD,true,active,SUP-003,2025-08-14T14:00:00.000Z,2026-07-04T14:00:00.000Z
SKU-00040,6281000000040,Rain Shell - Natural,Juniper,Apparel,Rain,Natural,S,51.24,27.67,CAD,true,active,SUP-004,2025-08-15T14:00:00.000Z,2026-07-03T14:00:00.000Z
SKU-00041,6281000000041,Chef Knife - Black,Kite Supply,Kitchen,Chef,Black,ONE SIZE,58.49,31.58,CAD,true,active,SUP-005,2025-08-16T14:00:00.000Z,2026-07-02T14:00:00.000Z
SKU-00042,6281000000042,Yoga Mat - White,Common Goods,Fitness,Yoga,White,ONE SIZE,-29.99,35.5,CAD,true,active,SUP-006,2025-08-17T14:00:00.000Z,2026-07-01T14:00:00.000Z
SKU-00043,6281000000043,Mechanical Keyboard - Navy,Northstar,Electronics,Mechanical,Navy,ONE SIZE,72.99,39.41,CAD,true,active,SUP-007,2025-08-18T14:00:00.000Z,2026-06-30T14:00:00.000Z
SKU-00044,6281000000044,Storage Basket - Forest Green,Field & Form,Home,Storage,Forest Green,ONE SIZE,80.24,43.33,CAD,true,active,SUP-008,2025-08-19T14:00:00.000Z,2026-06-29T14:00:00.000Z
SKU-00045,6281000000045,Picnic Blanket - Sand,Arcwell,Outdoors,Picnic,Sand,ONE SIZE,87.49,47.24,CAD,true,active,SUP-009,2025-08-20T14:00:00.000Z,2026-06-28T14:00:00.000Z
SKU-00046,6281000000046,Classic Hoodie - Red,Juniper,Apparel,Classic,,L,94.74,51.16,CAD,true,active,SUP-010,2025-08-21T14:00:00.000Z,2026-08-11T14:00:00.000Z
SKU-00047,6281000000047,Glass Carafe - Slate,Kite Supply,Kitchen,Glass,Slate,ONE SIZE,101.99,55.07,CAD,true,active,SUP-011,2025-08-22T14:00:00.000Z,2026-08-10T14:00:00.000Z
SKU-00048,6281000000048,Foam Roller - Natural,Common Goods,Fitness,Foam,Natural,ONE SIZE,109.24,58.99,CAD,true,active,SUP-012,2025-08-23T14:00:00.000Z,2026-08-09T14:00:00.000Z
SKU-00049,6281000000049,Portable Charger - Black,Northstar,Electronics,Portable,Black,ONE SIZE,116.49,62.9,CAD,true,active,SUP-001,2025-08-24T14:00:00.000Z,2026-08-08T14:00:00.000Z
SKU-00050,6281000000050,Cotton Towel Set - White,Field & Form,Home,Cotton,White,ONE SIZE,123.74,66.82,CAD,true,active,SUP-002,2025-08-25T14:00:00.000Z,2026-08-07T14:00:00.000Z
SKU-00051,6281000000051,Trail Bottle - Navy,Arcwell,Outdoors,,Navy,ONE SIZE,130.99,70.73,CAD,true,active,SUP-003,2025-08-26T14:00:00.000Z,2026-08-06T14:00:00.000Z
SKU-00052,6281000000052,Merino Tee - Forest Green,Juniper,Apparel,Merino,Forest Green,XL,14.99,8.09,CAD,true,active,SUP-004,2025-08-27T14:00:00.000Z,2026-08-05T14:00:00.000Z
SKU-00053,6281000000053,Bamboo Board - Sand,Kite Supply,Kitchen,Bamboo,Sand,ONE SIZE,22.24,12.01,CAD,true,active,SUP-005,2025-08-28T14:00:00.000Z,2026-08-04T14:00:00.000Z
SKU-00054,6281000000054,Training Gloves - Red,Common Goods,Fitness,Training,Red,ONE SIZE,29.49,15.92,CAD,true,active,SUP-006,2025-08-29T14:00:00.000Z,2026-08-03T14:00:00.000Z
SKU-00055,6281000000055,Smart Bulb - Slate,Northstar,Electronics,Smart,Slate,ONE SIZE,36.74,19.84,CAD,true,active,SUP-007,2025-08-30T14:00:00.000Z,2026-08-02T14:00:00.000Z
SKU-00056,6281000000056,Linen Throw - Natural,Field & Form,Home,Linen,Natural,ONE SIZE,43.99,23.75,CAD,true,active,SUP-008,2025-08-31T14:00:00.000Z,2026-08-01T14:00:00.000Z
SKU-00057,,Camping Lantern - Black,Arcwell,Outdoors,Camping,Black,ONE SIZE,51.24,27.67,CAD,true,active,SUP-009,2025-09-01T14:00:00.000Z,2026-07-31T14:00:00.000Z
SKU-00058,6281000000058,Canvas Cap - White,Juniper,Apparel,Canvas,White,L,58.49,31.58,CAD,Y,active,SUP-010,2025-09-02T14:00:00.000Z,2026-07-30T14:00:00.000Z
SKU-00059,6281000000059,Coffee Grinder - Navy,Kite Supply,Kitchen,Coffee,Navy,ONE SIZE,65.74,35.5,CAD,true,active,SUP-011,2025-09-03T14:00:00.000Z,2026-07-29T14:00:00.000Z
SKU-00060,6281000000060,Jump Rope - Forest Green,Common Goods,Fitness,Jump,Forest Green,ONE SIZE,72.99,39.41,CAD,true,active,SUP-012,2025-09-04T14:00:00.000Z,2026-07-28T14:00:00.000Z
SKU-00061,6281000000061,Wireless Earbuds - Sand,Northstar,Electronics,Wireless,Sand,ONE SIZE,80.24,43.33,CAD,true,active,SUP-001,2025-09-05T14:00:00.000Z,2026-07-27T14:00:00.000Z
SKU-00062,6281000000062,Ceramic Planter - Red,Field & Form,Home,Ceramic,Red,ONE SIZE,87.49,47.24,CAD,true,discontinued,SUP-002,2025-09-06T14:00:00.000Z,2026-07-26T14:00:00.000Z
SKU-00063,6281000000063,Dry Bag - Slate,Arcwell,Outdoors,Dry,Slate,ONE SIZE,94.74,51.16,CAD,true,active,SUP-003,2025-09-07T14:00:00.000Z,2026-07-25T14:00:00.000Z
SKU-00064,6281000000064,Everyday Socks - Natural,Juniper,Apparel,Everyday,Natural,M,101.99,55.07,CAD,true,active,SUP-004,2025-09-08T14:00:00.000Z,2026-07-24T14:00:00.000Z
SKU-00065,6281000000065,Mixing Bowl Set - Black,Kite Supply,Kitchen,Mixing,Black,ONE SIZE,109.24,58.99,CAD,true,active,SUP-005,2025-09-09T14:00:00.000Z,2026-07-23T14:00:00.000Z
SKU-00066,6281000000066,Resistance Bands - White,Common Goods,Fitness,Resistance,White,ONE SIZE,116.49,62.9,CAD,true,active,SUP-006,2025-09-10T14:00:00.000Z,2026-07-22T14:00:00.000Z
SKU-00067,6281000000067,USB-C Hub - Navy,Northstar,Electronics,USB-C,Navy,ONE SIZE,123.74,66.82,CAD,true,active,SUP-007,2025-09-11T14:00:00.000Z,2026-07-21T14:00:00.000Z
SKU-00068,6281000000068,LED Desk Lamp - Forest Green,Field & Form,Home,,Forest Green,ONE SIZE,130.99,70.73,CAD,true,active,SUP-008,2025-09-12T14:00:00.000Z,2026-07-20T14:00:00.000Z
SKU-00069,6281000000069,Hiking Poles - Sand,Arcwell,Outdoors,Hiking,,ONE SIZE,14.99,8.09,CAD,true,active,SUP-009,2025-09-13T14:00:00.000Z,2026-07-19T14:00:00.000Z
SKU-00070,6281000000070,Rain Shell - Red,Juniper,Apparel,Rain,Red,XL,22.24,12.01,CAD,true,active,SUP-010,2025-09-14T14:00:00.000Z,2026-07-18T14:00:00.000Z
SKU-00071,6281000000071,Chef Knife - Slate,Kite Supply,Kitchen,Chef,Slate,ONE SIZE,29.49,15.92,CAD,true,active,SUP-011,2025-09-15T14:00:00.000Z,2026-07-17T14:00:00.000Z
SKU-00072,6281000000072,Yoga Mat - Natural,Common Goods,Fitness,Yoga,Natural,ONE SIZE,36.74,19.84,CAD,true,active,SUP-012,2025-09-16T14:00:00.000Z,2026-07-16T14:00:00.000Z
SKU-00073,6281000000073,Mechanical Keyboard - Black,Northstar,Electronics,Mechanical,Black,ONE SIZE,43.99,23.75,USD,true,active,SUP-001,2025-09-17T14:00:00.000Z,2026-07-15T14:00:00.000Z
SKU-00074,6281000000074,Storage Basket - White,Field & Form,Home,Storage,White,ONE SIZE,51.24,27.67,CAD,true,active,SUP-002,2025-09-18T14:00:00.000Z,2026-07-14T14:00:00.000Z
SKU-00075,6281000000075,Picnic Blanket - Navy,Arcwell,Outdoors,Picnic,Navy,ONE SIZE,58.49,31.58,CAD,true,active,SUP-003,2025-09-19T14:00:00.000Z,2026-07-13T14:00:00.000Z
SKU-00076,,Classic Hoodie - Forest Green,Juniper,Apparel,Classic,Forest Green,L,65.74,35.5,CAD,true,active,SUP-004,2025-09-20T14:00:00.000Z,2026-07-12T14:00:00.000Z
SKU-00077,6281000000077,Glass Carafe - Sand,Kite Supply,Kitchen,Glass,Sand,ONE SIZE,72.99,39.41,CAD,true,active,SUP-005,2025-09-21T14:00:00.000Z,2026-07-11T14:00:00.000Z
SKU-00078,6281000000078,Foam Roller - Red,Common Goods,Fitness,Foam,Red,ONE SIZE,80.24,43.33,CAD,true,active,SUP-006,2025-09-22T14:00:00.000Z,2026-07-10T14:00:00.000Z
SKU-00079,6281000000079,Portable Charger - Slate,Northstar,Electronics,Portable,Slate,ONE SIZE,87.49,47.24,CAD,true,active,SUP-007,2025-09-23T14:00:00.000Z,2026-07-09T14:00:00.000Z
SKU-00080,6281000000080,Cotton Towel Set - Natural,Field & Form,Home,Cotton,Natural,ONE SIZE,94.74,51.16,CAD,true,active,SUP-008,2025-09-24T14:00:00.000Z,2026-07-08T14:00:00.000Z
SKU-00081,6281000000081,Trail Bottle - Black,Arcwell,Outdoors,Trail,Black,ONE SIZE,101.99,55.07,CAD,true,active,SUP-009,2025-09-25T14:00:00.000Z,2026-07-07T14:00:00.000Z
SKU-00082,6281000000082,Merino Tee - White,Juniper,Apparel,Merino,White,,109.24,58.99,CAD,true,active,SUP-010,2025-09-26T14:00:00.000Z,2026-07-06T14:00:00.000Z
SKU-00083,6281000000083,Bamboo Board - Navy,Kite Supply,Kitchen,Bamboo,Navy,ONE SIZE,116.49,62.9,CAD,true,active,SUP-011,2025-09-27T14:00:00.000Z,2026-07-05T14:00:00.000Z
SKU-00084,6281000000084,Training Gloves - Forest Green,Common Goods,Fitness,Training,Forest Green,ONE SIZE,123.74,66.82,CAD,true,active,SUP-012,2025-09-28T14:00:00.000Z,2026-07-04T14:00:00.000Z
SKU-00085,6281000000085,Smart Bulb - Sand,Northstar,Electronics,,Sand,ONE SIZE,130.99,70.73,CAD,true,active,SUP-001,2025-09-29T14:00:00.000Z,2026-07-03T14:00:00.000Z
SKU-00086,6281000000086,Linen Throw - Red,Field & Form,Home,Linen,Red,ONE SIZE,14.99,8.09,CAD,true,active,SUP-002,2025-09-30T14:00:00.000Z,2026-07-02T14:00:00.000Z
SKU-00087,6281000000087,Camping Lantern - Slate,Arcwell,Outdoors,Camping,Slate,ONE SIZE,22.24,12.01,CAD,Y,active,SUP-003,2025-10-01T14:00:00.000Z,2026-07-01T14:00:00.000Z
SKU-00088,6281000000088,Canvas Cap - Natural,Juniper,Apparel,Canvas,Natural,XL,29.49,15.92,CAD,true,ACTIVE,SUP-004,2025-10-02T14:00:00.000Z,2026-06-30T14:00:00.000Z
SKU-00089,6281000000089,Coffee Grinder - Black,Kite Supply,Kitchen,Coffee,Black,ONE SIZE,36.74,19.84,CAD,true,active,SUP-005,2025-10-03T14:00:00.000Z,2026-06-29T14:00:00.000Z
SKU-00090,6281000000090,Jump Rope - White,Common Goods,Fitness,Jump,White,ONE SIZE,43.99,23.75,CAD,true,active,SUP-006,2025-10-04T14:00:00.000Z,2026-06-28T14:00:00.000Z
SKU-00091,6281000000091,Wireless Earbuds - Navy,Northstar,Electronics,Wireless,Navy,ONE SIZE,51.24,27.67,CAD,true,active,SUP-007,2025-10-05T14:00:00.000Z,2026-08-11T14:00:00.000Z
SKU-00092,6281000000092,Ceramic Planter - Forest Green,Field & Form,Home,Ceramic,,ONE SIZE,58.49,31.58,CAD,true,active,SUP-008,2025-10-06T14:00:00.000Z,2026-08-10T14:00:00.000Z
SKU-00093,6281000000093,Dry Bag - Sand,Arcwell,Outdoors,Dry,Sand,ONE SIZE,65.74,35.5,CAD,true,discontinued,SUP-009,2025-10-07T14:00:00.000Z,2026-08-09T14:00:00.000Z
SKU-00094,6281000000094,Everyday Socks - Red,Juniper,Apparel,Everyday,Red,XL,72.99,39.41,CAD,true,active,SUP-010,2025-10-08T14:00:00.000Z,2026-08-08T14:00:00.000Z
SKU-00095,,Mixing Bowl Set - Slate,Kite Supply,Kitchen,Mixing,Slate,ONE SIZE,80.24,43.33,CAD,true,active,SUP-011,2025-10-09T14:00:00.000Z,2026-08-07T14:00:00.000Z
SKU-00096,6281000000096,Resistance Bands - Natural,Common Goods,Fitness,Resistance,Natural,ONE SIZE,87.49,47.24,CAD,true,active,SUP-012,2025-10-10T14:00:00.000Z,2026-08-06T14:00:00.000Z
SKU-00097,6281000000097,USB-C Hub - Black,Northstar,Electronics,USB-C,Black,ONE SIZE,94.74,51.16,CAD,true,active,SUP-001,2025-10-11T14:00:00.000Z,2026-08-05T14:00:00.000Z
SKU-00098,6281000000098,LED Desk Lamp - White,Field & Form,Home,LED,White,ONE SIZE,101.99,55.07,CAD,true,active,SUP-002,2025-10-12T14:00:00.000Z,2026-08-04T14:00:00.000Z
SKU-00099,6281000000099,Hiking Poles - Navy,Arcwell,Outdoors,Hiking,Navy,ONE SIZE,109.24,58.99,CAD,true,active,SUP-003,2025-10-13T14:00:00.000Z,2026-08-03T14:00:00.000Z
SKU-00100,6281000000100,Rain Shell - Forest Green,Juniper,Apparel,Rain,Forest Green,S,116.49,62.9,CAD,true,active,SUP-004,2025-10-14T14:00:00.000Z,2026-08-02T14:00:00.000Z
SKU-00101,6281000000101,Chef Knife - Sand,Kite Supply,Kitchen,Chef,Sand,ONE SIZE,123.74,66.82,CAD,true,active,SUP-005,2025-10-15T14:00:00.000Z,2026-08-01T14:00:00.000Z
SKU-00102,6281000000102,Yoga Mat - Red,Common Goods,Fitness,,Red,ONE SIZE,130.99,70.73,CAD,true,active,SUP-006,2025-10-16T14:00:00.000Z,2026-07-31T14:00:00.000Z
SKU-00103,6281000000103,Mechanical Keyboard - Slate,Northstar,Electronics,Mechanical,Slate,ONE SIZE,14.99,8.09,CAD,true,active,SUP-007,2025-10-17T14:00:00.000Z,2026-07-30T14:00:00.000Z
SKU-00104,6281000000104,Storage Basket - Natural,Field & Form,Home,Storage,Natural,ONE SIZE,22.24,12.01,CAD,true,active,SUP-008,2025-10-18T14:00:00.000Z,2026-07-29T14:00:00.000Z
SKU-00105,6281000000105,Picnic Blanket - Black,Arcwell,Outdoors,Picnic,Black,ONE SIZE,29.49,15.92,CAD,true,active,SUP-009,2025-10-19T14:00:00.000Z,2026-07-28T14:00:00.000Z
SKU-00106,6281000000106,Classic Hoodie - White,Juniper,Apparel,Classic,White,,36.74,19.84,CAD,true,active,SUP-010,2025-10-20T14:00:00.000Z,2026-07-27T14:00:00.000Z
SKU-00107,6281000000107,Glass Carafe - Navy,Kite Supply,Kitchen,Glass,Navy,ONE SIZE,43.99,23.75,CAD,true,active,SUP-011,2025-10-21T14:00:00.000Z,2026-07-26T14:00:00.000Z
SKU-00108,6281000000108,Foam Roller - Forest Green,Common Goods,Fitness,Foam,Forest Green,ONE SIZE,51.24,27.67,CAD,true,active,SUP-012,2025-10-22T14:00:00.000Z,2026-07-25T14:00:00.000Z
SKU-00109,6281000000109,Portable Charger - Sand,Northstar,Electronics,Portable,Sand,ONE SIZE,58.49,31.58,CAD,true,active,SUP-001,2025-10-23T14:00:00.000Z,2026-07-24T14:00:00.000Z
SKU-00110,6281000000110,Cotton Towel Set - Red,Field & Form,Home,Cotton,Red,ONE SIZE,65.74,35.5,CAD,true,active,SUP-002,2025-10-24T14:00:00.000Z,2026-07-23T14:00:00.000Z
SKU-00111,6281000000111,Trail Bottle - Slate,Arcwell,Outdoors,Trail,Slate,ONE SIZE,72.99,39.41,CAD,true,active,SUP-003,2025-10-25T14:00:00.000Z,2026-07-22T14:00:00.000Z
SKU-00112,6281000000112,Merino Tee - Natural,Juniper,Apparel,Merino,Natural,XL,80.24,43.33,CAD,true,active,SUP-004,2025-10-26T14:00:00.000Z,2026-07-21T14:00:00.000Z
SKU-00113,6281000000113,Bamboo Board - Black,Kite Supply,Kitchen,Bamboo,Black,ONE SIZE,87.49,47.24,CAD,true,active,SUP-005,2025-10-27T14:00:00.000Z,2026-07-20T14:00:00.000Z
SKU-00114,,Training Gloves - White,Common Goods,Fitness,Training,White,ONE SIZE,94.74,51.16,CAD,true,active,SUP-006,2025-10-28T14:00:00.000Z,2026-07-19T14:00:00.000Z
SKU-00115,6281000000115,Smart Bulb - Navy,Northstar,Electronics,Smart,,ONE SIZE,101.99,55.07,CAD,true,active,SUP-007,2025-10-29T14:00:00.000Z,2026-07-18T14:00:00.000Z
SKU-00012,6281000000012,Yoga Mat - Forest Green,Common Goods,Fitness,Yoga,Forest Green,ONE SIZE,199.99,51.16,CAD,true,active,SUP-012,2026-08-08T14:00:00.000Z,2026-07-31T14:00:00.000Z
sku-00117,6281000000117,Travel Adapter - White,NorthStar,electronics,Adapters,white,ONE SIZE,39.99,20.5,cad,true,active,SUP-004,2026-05-23T14:00:00.000Z,2026-08-10T14:00:00.000Z
SKU-00118,,Unclassified Sample,,,,,,24.5,12,CAD,true,active,SUP-099,2026-08-01T14:00:00.000Z,2026-08-11T14:00:00.000Z
SKU-00119,6281000000119,Legacy Cable,Arcwell,Electronics,Cables,Black,ONE SIZE,"19,99",8.25,CAD,true,active,SUP-002,2024-02-23T14:00:00.000Z,not-a-date
SKU-00120,6281000000120,Gift Card,Common Goods,Gift Cards,Digital,,,50,50,CAD,false,active,SUP-012,2026-08-06T14:00:00.000Z,2026-08-11T14:00:00.000Z
