description_record_id,sku,locale,short_description,long_description,material,care_instructions,bullet_1,bullet_2,seo_title,seo_description,approval_status,updated_at
DESC-000025,SKU-00025,fr-CA,Smart Bulb built for durable use.,"The Northstar Smart Bulb balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Smart Bulb | Northstar,Shop the Smart Bulb from Northstar. Practical design and dependable performance.,approved,2026-07-17T14:00:00.000Z
DESC-000026,SKU-00026,en-CA,Linen Throw built for thoughtfully designed use.,,BPA-free plastic,Wipe clean,Available in White,Backed by a 1-year limited warranty,Linen Throw | Field & Form,Shop the Linen Throw from Field & Form. Practical design and dependable performance.,approved,2026-07-16T14:00:00.000Z
DESC-000027,SKU-00027,en-CA,Camping Lantern built for everyday use.,"The Arcwell Camping Lantern balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Navy,Backed by a 1-year limited warranty,Camping Lantern | Arcwell,Shop the Camping Lantern from Arcwell. Practical design and dependable performance.,approved,2026-07-15T14:00:00.000Z
DESC-000028,SKU-00028,en-CA,Canvas Cap built for thoughtfully designed use.,"The Juniper Canvas Cap balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Hand wash only,,Backed by a 1-year limited warranty,Canvas Cap | Juniper,Shop the Canvas Cap from Juniper. Practical design and dependable performance.,approved,2026-07-14T14:00:00.000Z
DESC-000029,SKU-00029,en-CA,Coffee Grinder built for versatile use.,"The Kite Supply Coffee Grinder balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Wipe clean,Available in Sand,Backed by a 1-year limited warranty,Coffee Grinder | Kite Supply,Shop the Coffee Grinder from Kite Supply. Practical design and dependable performance.,approved,2026-07-13T14:00:00.000Z
DESC-000030,SKU-00030,en-CA,Jump Rope built for thoughtfully designed use.,"The Common Goods Jump Rope balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Hand wash only,Available in Red,Backed by a 1-year limited warranty,Jump Rope | Common Goods,Shop the Jump Rope from Common Goods. Practical design and dependable performance.,approved,2026-07-12T14:00:00.000Z
DESC-000031,SKU-00031,en-CA,Wireless Earbuds built for versatile use.,"The Northstar Wireless Earbuds balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Slate,Backed by a 1-year limited warranty,Wireless Earbuds | Northstar,Shop the Wireless Earbuds from Northstar. Practical design and dependable performance.,approved,2026-07-11T14:00:00.000Z
DESC-000032,SKU-00032,en-CA,Ceramic Planter built for thoughtfully designed use.,"The Field & Form Ceramic Planter balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Hand wash only,Available in Natural,Backed by a 1-year limited warranty,Ceramic Planter | Field & Form,Shop the Ceramic Planter from Field & Form. Practical design and dependable performance.,approved,2026-07-10T14:00:00.000Z
DESC-000033,SKU-00033,en-CA,Dry Bag built for durable use.,"The Arcwell Dry Bag balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Dry Bag | Arcwell,Shop the Dry Bag from Arcwell. Practical design and dependable performance.,draft,2026-07-09T14:00:00.000Z
DESC-000034,SKU-00034,en-CA,Everyday Socks built for durable use.,"The Juniper Everyday Socks balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in White,Backed by a 1-year limited warranty,Everyday Socks | Juniper,,approved,2026-07-08T14:00:00.000Z
DESC-000035,SKU-00035,en-CA,Mixing Bowl Set built for versatile use.,"The Kite Supply Mixing Bowl Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Mixing Bowl Set | Kite Supply,Shop the Mixing Bowl Set from Kite Supply. Practical design and dependable performance.,approved,2026-07-07T14:00:00.000Z
DESC-000036,SKU-00036,en-CA,,"The Common Goods Resistance Bands balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Machine wash cold,Available in Forest Green,Backed by a 1-year limited warranty,Resistance Bands | Common Goods,Shop the Resistance Bands from Common Goods. Practical design and dependable performance.,approved,2026-07-06T14:00:00.000Z
DESC-000037,SKU-00037,en-CA,USB-C Hub built for versatile use.,"The Northstar USB-C Hub balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Sand,Backed by a 1-year limited warranty,USB-C Hub | Northstar,Shop the USB-C Hub from Northstar. Practical design and dependable performance.,approved,2026-07-05T14:00:00.000Z
DESC-000038,SKU-00038,en-CA,LED Desk Lamp built for versatile use.,"The Field & Form LED Desk Lamp balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Machine wash cold,Available in Red,,LED Desk Lamp | Field & Form,Shop the LED Desk Lamp from Field & Form. Practical design and dependable performance.,approved,2026-07-04T14:00:00.000Z
DESC-000039,SKU-00039,en-CA,Hiking Poles built for durable use.,"The Arcwell Hiking Poles balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Slate,Backed by a 1-year limited warranty,Hiking Poles | Arcwell,Shop the Hiking Poles from Arcwell. Practical design and dependable performance.,approved,2026-07-03T14:00:00.000Z
DESC-000040,SKU-00040,en-CA,Rain Shell built for everyday use.,"The Juniper Rain Shell balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,,Available in Natural,Backed by a 1-year limited warranty,Rain Shell | Juniper,Shop the Rain Shell from Juniper. Practical design and dependable performance.,approved,2026-07-02T14:00:00.000Z
DESC-000041,SKU-00041,en-CA,Chef Knife built for thoughtfully designed use.,"The Kite Supply Chef Knife balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,Available in Black,Backed by a 1-year limited warranty,Chef Knife | Kite Supply,Shop the Chef Knife from Kite Supply. Practical design and dependable performance.,approved,2026-07-01T14:00:00.000Z
DESC-000042,SKU-00042,en-CA,Yoga Mat built for thoughtfully designed use.,"The Common Goods Yoga Mat balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Hand wash only,,Backed by a 1-year limited warranty,Yoga Mat | Common Goods,Shop the Yoga Mat from Common Goods. Practical design and dependable performance.,approved,2026-06-30T14:00:00.000Z
DESC-000043,SKU-00043,en-CA,Mechanical Keyboard built for lightweight use.,"The Northstar Mechanical Keyboard balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in Navy,Backed by a 1-year limited warranty,Mechanical Keyboard | Northstar,Shop the Mechanical Keyboard from Northstar. Practical design and dependable performance.,approved,2026-06-29T14:00:00.000Z
DESC-000044,SKU-00044,en-CA,Storage Basket built for versatile use.,"The Field & Form Storage Basket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Forest Green,Backed by a 1-year limited warranty,Storage Basket | Field & Form,Shop the Storage Basket from Field & Form. Practical design and dependable performance.,draft,2026-06-28T14:00:00.000Z
DESC-000045,SKU-00045,en-CA,Picnic Blanket built for thoughtfully designed use.,"The Arcwell Picnic Blanket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Sand,Backed by a 1-year limited warranty,Picnic Blanket | Arcwell,Shop the Picnic Blanket from Arcwell. Practical design and dependable performance.,approved,2026-06-27T14:00:00.000Z
DESC-000046,SKU-00046,en-CA,Classic Hoodie built for durable use.,"The Juniper Classic Hoodie balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Wipe clean,Available in Red,Backed by a 1-year limited warranty,Classic Hoodie | Juniper,Shop the Classic Hoodie from Juniper. Practical design and dependable performance.,approved,2026-06-26T14:00:00.000Z
DESC-000047,SKU-00047,en-CA,Glass Carafe built for versatile use.,<p>Premium build & easy setup</p>,Stainless steel,Machine wash cold,Available in Slate,Backed by a 1-year limited warranty,Glass Carafe | Kite Supply,Shop the Glass Carafe from Kite Supply. Practical design and dependable performance.,approved,2026-06-25T14:00:00.000Z
DESC-000048,SKU-00048,en-CA,Foam Roller built for versatile use.,"The Common Goods Foam Roller balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Hand wash only,Available in Natural,Backed by a 1-year limited warranty,Foam Roller | Common Goods,Shop the Foam Roller from Common Goods. Practical design and dependable performance.,approved,2026-06-24T14:00:00.000Z
DESC-000049,SKU-00049,en-CA,Portable Charger built for versatile use.,"The Northstar Portable Charger balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,Available in Black,Backed by a 1-year limited warranty,Portable Charger | Northstar,Shop the Portable Charger from Northstar. Practical design and dependable performance.,approved,2026-06-23T14:00:00.000Z
DESC-000050,SKU-00050,fr-CA,Cotton Towel Set built for thoughtfully designed use.,"The Field & Form Cotton Towel Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in White,Backed by a 1-year limited warranty,Cotton Towel Set | Field & Form,Shop the Cotton Towel Set from Field & Form. Practical design and dependable performance.,approved,2026-06-22T14:00:00.000Z
DESC-000051,SKU-00051,en-CA,Trail Bottle built for everyday use.,"The Arcwell Trail Bottle balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Navy,Backed by a 1-year limited warranty,Trail Bottle | Arcwell,,approved,2026-06-21T14:00:00.000Z
DESC-000052,SKU-00052,en-CA,Merino Tee built for lightweight use.,,BPA-free plastic,Machine wash cold,Available in Forest Green,Backed by a 1-year limited warranty,Merino Tee | Juniper,Shop the Merino Tee from Juniper. Practical design and dependable performance.,approved,2026-06-20T14:00:00.000Z
DESC-000053,SKU-00053,en-CA,Bamboo Board built for thoughtfully designed use.,"The Kite Supply Bamboo Board balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Bamboo Board | Kite Supply,Shop the Bamboo Board from Kite Supply. Practical design and dependable performance.,approved,2026-06-19T14:00:00.000Z
DESC-000054,SKU-00054,en-CA,,"The Common Goods Training Gloves balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Red,Backed by a 1-year limited warranty,Training Gloves | Common Goods,Shop the Training Gloves from Common Goods. Practical design and dependable performance.,approved,2026-06-18T14:00:00.000Z
DESC-000055,SKU-00055,en-CA,Smart Bulb built for everyday use.,"The Northstar Smart Bulb balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Hand wash only,Available in Slate,Backed by a 1-year limited warranty,Smart Bulb | Northstar,Shop the Smart Bulb from Northstar. Practical design and dependable performance.,rejected,2026-06-17T14:00:00.000Z
DESC-000056,SKU-00056,en-CA,Linen Throw built for durable use.,"The Field & Form Linen Throw balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Hand wash only,,Backed by a 1-year limited warranty,Linen Throw | Field & Form,Shop the Linen Throw from Field & Form. Practical design and dependable performance.,approved,2026-06-16T14:00:00.000Z
DESC-000057,SKU-00057,en-CA,Camping Lantern built for thoughtfully designed use.,"The Arcwell Camping Lantern balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Machine wash cold,Available in Black,,Camping Lantern | Arcwell,Shop the Camping Lantern from Arcwell. Practical design and dependable performance.,approved,2026-06-15T14:00:00.000Z
DESC-000058,SKU-00058,en-CA,Canvas Cap built for everyday use.,"The Juniper Canvas Cap balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in White,Backed by a 1-year limited warranty,Canvas Cap | Juniper,Shop the Canvas Cap from Juniper. Practical design and dependable performance.,approved,2026-06-14T14:00:00.000Z
DESC-000059,SKU-00059,en-CA,Coffee Grinder built for versatile use.,"The Kite Supply Coffee Grinder balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Coffee Grinder | Kite Supply,Shop the Coffee Grinder from Kite Supply. Practical design and dependable performance.,approved,2026-06-13T14:00:00.000Z
DESC-000060,SKU-00060,en-CA,Jump Rope built for everyday use.,"The Common Goods Jump Rope balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,,Available in Forest Green,Backed by a 1-year limited warranty,Jump Rope | Common Goods,Shop the Jump Rope from Common Goods. Practical design and dependable performance.,approved,2026-06-12T14:00:00.000Z
DESC-000061,SKU-00061,en-CA,Wireless Earbuds built for everyday use.,"The Northstar Wireless Earbuds balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Wireless Earbuds | Northstar,Shop the Wireless Earbuds from Northstar. Practical design and dependable performance.,approved,2026-06-11T14:00:00.000Z
DESC-000062,SKU-00062,en-CA,Ceramic Planter built for everyday use.,"The Field & Form Ceramic Planter balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in Red,Backed by a 1-year limited warranty,Ceramic Planter | Field & Form,Shop the Ceramic Planter from Field & Form. Practical design and dependable performance.,approved,2026-06-10T14:00:00.000Z
DESC-000063,SKU-00063,en-CA,Dry Bag built for versatile use.,"The Arcwell Dry Bag balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Slate,Backed by a 1-year limited warranty,Dry Bag | Arcwell,Shop the Dry Bag from Arcwell. Practical design and dependable performance.,approved,2026-06-09T14:00:00.000Z
DESC-000064,SKU-00064,en_CA,Everyday Socks built for durable use.,"The Juniper Everyday Socks balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Wipe clean,Available in Natural,Backed by a 1-year limited warranty,Everyday Socks | Juniper,Shop the Everyday Socks from Juniper. Practical design and dependable performance.,approved,2026-06-08T14:00:00.000Z
DESC-000065,SKU-00065,en-CA,Mixing Bowl Set built for versatile use.,"The Kite Supply Mixing Bowl Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Mixing Bowl Set | Kite Supply,Shop the Mixing Bowl Set from Kite Supply. Practical design and dependable performance.,approved,2026-06-07T14:00:00.000Z
DESC-000066,SKU-00066,en-CA,Resistance Bands built for versatile use.,"The Common Goods Resistance Bands balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in White,Backed by a 1-year limited warranty,Resistance Bands | Common Goods,Shop the Resistance Bands from Common Goods. Practical design and dependable performance.,draft,2026-06-06T14:00:00.000Z
DESC-000067,SKU-00067,en-CA,USB-C Hub built for lightweight use.,"The Northstar USB-C Hub balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Navy,Backed by a 1-year limited warranty,USB-C Hub | Northstar,Shop the USB-C Hub from Northstar. Practical design and dependable performance.,approved,2026-06-05T14:00:00.000Z
DESC-000068,SKU-00068,en-CA,LED Desk Lamp built for versatile use.,"The Field & Form LED Desk Lamp balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Forest Green,Backed by a 1-year limited warranty,LED Desk Lamp | Field & Form,,approved,2026-06-04T14:00:00.000Z
DESC-000069,SKU-00069,en-CA,Hiking Poles built for durable use.,"The Arcwell Hiking Poles balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Sand,Backed by a 1-year limited warranty,Hiking Poles | Arcwell,Shop the Hiking Poles from Arcwell. Practical design and dependable performance.,approved,2026-06-03T14:00:00.000Z
DESC-000070,SKU-00070,en-CA,Rain Shell built for lightweight use.,"The Juniper Rain Shell balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,,Backed by a 1-year limited warranty,Rain Shell | Juniper,Shop the Rain Shell from Juniper. Practical design and dependable performance.,approved,2026-08-11T14:00:00.000Z
DESC-000071,SKU-00071,en-CA,Chef Knife built for thoughtfully designed use.,"The Kite Supply Chef Knife balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Slate,Backed by a 1-year limited warranty,Chef Knife | Kite Supply,Shop the Chef Knife from Kite Supply. Practical design and dependable performance.,approved,2026-08-10T14:00:00.000Z
DESC-000072,SKU-00072,en-CA,,"The Common Goods Yoga Mat balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Machine wash cold,Available in Natural,Backed by a 1-year limited warranty,Yoga Mat | Common Goods,Shop the Yoga Mat from Common Goods. Practical design and dependable performance.,approved,2026-08-09T14:00:00.000Z
DESC-000073,SKU-00073,en-CA,Mechanical Keyboard built for lightweight use.,"The Northstar Mechanical Keyboard balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Mechanical Keyboard | Northstar,Shop the Mechanical Keyboard from Northstar. Practical design and dependable performance.,approved,2026-08-08T14:00:00.000Z
DESC-000074,SKU-00074,en-CA,Storage Basket built for thoughtfully designed use.,"The Field & Form Storage Basket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Store in a dry place,Available in White,Backed by a 1-year limited warranty,Storage Basket | Field & Form,Shop the Storage Basket from Field & Form. Practical design and dependable performance.,approved,2026-08-07T14:00:00.000Z
DESC-000075,SKU-00075,fr-CA,Picnic Blanket built for lightweight use.,"The Arcwell Picnic Blanket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Hand wash only,Available in Navy,Backed by a 1-year limited warranty,Picnic Blanket | Arcwell,Shop the Picnic Blanket from Arcwell. Practical design and dependable performance.,approved,2026-08-06T14:00:00.000Z
DESC-000076,SKU-00076,en-CA,Classic Hoodie built for everyday use.,"The Juniper Classic Hoodie balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Forest Green,,Classic Hoodie | Juniper,Shop the Classic Hoodie from Juniper. Practical design and dependable performance.,approved,2026-08-05T14:00:00.000Z
DESC-000077,SKU-00077,en-CA,Glass Carafe built for thoughtfully designed use.,"The Kite Supply Glass Carafe balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Glass Carafe | Kite Supply,Shop the Glass Carafe from Kite Supply. Practical design and dependable performance.,draft,2026-08-04T14:00:00.000Z
DESC-000078,SKU-00078,en-CA,Foam Roller built for versatile use.,,Stainless steel,Wipe clean,Available in Red,Backed by a 1-year limited warranty,Foam Roller | Common Goods,Shop the Foam Roller from Common Goods. Practical design and dependable performance.,approved,2026-08-03T14:00:00.000Z
